review_id,analysis_name,k,I2,tau2,n_sig_observed,n_sig_expected,excess_significance,outlier_ratio,se_ratio,orb_score,orb_class
CD000028,Cause of cardiovascular mortality,21,0,0,3,3.6,-0.57,0.0,8.54,10,Low_Risk
CD000143,Extubation failure,12,70.0,0.3053,4,2.1,1.9,0.0,7.66,40,Moderate_Risk
CD000219,Pain,21,35.7,0.0264,6,4.1,1.94,0.048,15.18,35,Moderate_Risk
CD000478,Failure to maintain remission - all trials,13,0,0,4,3.0,0.97,0.0,7.76,10,Low_Risk
CD000547,Individual adverse events,48,70.7,0.7851,14,18.5,-4.48,0.021,6.7,25,Moderate_Risk
CD001155,"Alendronate vs Other active agent, Secondary",59,40.5,0.1319,8,2.8,5.2,0.034,9.92,40,Moderate_Risk
CD001321,Symptomatic UTI: culture-verified UTI,27,66.2,0.1057,7,6.9,0.08,0.0,25.92,35,Moderate_Risk
CD001396,Response rates,30,28.4,0.0676,17,15.5,1.52,0.067,4.96,15,Low_Risk
CD001431,Participation in decision-making - all studies,61,64.1,0.0353,13,2.1,10.86,0.066,72.97,65,High_Risk
CD001533,Adverse events,21,16.1,0.0122,3,1.0,2.02,0.095,31.81,50,High_Risk
CD001552,Clinical improvement at long-term follow-up: over 3 months,3,79.1,0.2841,3,2.0,1.04,0.0,7.32,55,High_Risk
CD001703,Non-specific low back pain and spine-related leg pain: withdrawals due to adverse events,21,0,0,4,4.6,-0.64,0.0,4.51,0,Low_Risk
CD001797,Significant improvement in disability within 6 weeks,5,0,0,3,2.0,1.02,0.0,7.37,25,Moderate_Risk
CD001837,Quit at longest follow-up (6 + months),49,45.7,0.0328,13,11.5,1.5,0.041,9.92,25,Moderate_Risk
CD001909,≥ 50% reduction in seizure frequency (intention-to-treat analysis),25,0,0,5,6.7,-1.68,0.0,7.0,10,Low_Risk
CD001920,Functional task training compared to other approaches: Adverse events,4,0,0,0,0.3,-0.31,0.0,7.87,10,Low_Risk
CD002042,Participants exposed to blood transfusion by clinical specialties,53,96.3,0.1024,43,46.9,-3.92,0.075,16.57,50,High_Risk
CD002052,All‐cause mortality until hospital discharge,3,0,0,0,0.2,-0.17,0.0,2.73,0,Low_Risk
CD002112,Number of children achieving 14 consecutive dry nights by the end of treatment,21,42.2,0.0275,8,5.9,2.14,0.048,16.59,50,High_Risk
CD002115,Number of participants with self-reported improvement in constipation (dichotomous),5,74.8,0.2031,5,3.2,1.78,0.0,8.06,40,Moderate_Risk
CD002122,Adverse effects,56,82.0,0.3445,19,6.1,12.87,0.125,24.21,90,High_Risk
CD002203,Adverse effects of antibiotic treatment,50,38.8,0.104,7,2.5,4.52,0.06,6.29,40,Moderate_Risk
CD002243,28-day all-cause mortality - sensitivity analysis based on methodological quality,180,25.8,0.0111,18,13.8,4.23,0.1,33.87,50,High_Risk
CD002290,Relapse,16,81.4,0.1187,10,9.9,0.12,0.0,6.93,40,Moderate_Risk
CD002303,Reulceration,5,57.2,0.0268,3,3.5,-0.5,0.0,8.11,25,Moderate_Risk
CD002971,Necrotising enterocolitis,10,2.9,0.0126,2,1.6,0.37,0.0,4.95,0,Low_Risk
CD003129,Treatment response,3,0,0,1,1.3,-0.28,0.0,1.86,0,Low_Risk
CD003216,Incidence of pressure ulcers,4,4.2,0.0083,0,0.4,-0.45,0.0,8.82,10,Low_Risk
CD003218,Proportion of participants with at least 1 adverse event,5,0,0,0,0.4,-0.4,0.0,2.67,0,Low_Risk
CD003331,All-cause mortality up to 12 months' follow-up,35,0,0,0,1.1,-1.06,0.0,5.16,10,Low_Risk
CD003333,All-cause mortality,4,0,0,0,0.1,-0.11,0.0,5.47,10,Low_Risk
CD003357,Live birth rate per woman,7,66.9,0.2212,2,2.8,-0.83,0.0,2.53,15,Low_Risk
CD003376,"Treatment versus reference, secondary",15,0,0,1,0.7,0.25,0.0,3.24,0,Low_Risk
CD003414,Clinical pregnancy rate per woman,16,0,0,2,0.7,1.32,0.0,4.23,15,Low_Risk
CD003429,Adverse events,6,0,0,0,0.5,-0.5,0.0,2.93,0,Low_Risk
CD003477,Behaviour problems: agitation or aggression,11,31.6,0.0427,0,0.4,-0.39,0.0,2.48,0,Low_Risk
CD003511,Miscarriage (all trials),8,0,0,1,0.4,0.56,0.0,7.54,10,Low_Risk
CD003519,Breastfeeding 1 month to 4 months post birth,15,35.4,0.0166,5,3.4,1.57,0.067,10.66,35,Moderate_Risk
CD003594,Adverse events,11,45.7,0.7249,2,1.2,0.77,0.0,4.21,0,Low_Risk
CD003598,Graft loss,21,0,0,0,1.7,-1.74,0.0,19.01,20,Low_Risk
CD003743,Infection up to discharge from home support or hospital,6,0,0,1,1.8,-0.77,0.0,3.58,0,Low_Risk
CD003774,CMV disease,42,0,0,17,16.8,0.21,0.0,6.25,10,Low_Risk
CD003833,Vascular events,4,0,0,0,0.2,-0.19,0.0,1.88,0,Low_Risk
CD003962,Adverse events,6,0.1,0.0002,0,0.5,-0.45,0.0,7.36,10,Low_Risk
CD004184,Overall adverse events,7,35.9,0.0397,1,0.5,0.49,0.143,13.17,30,Moderate_Risk
CD004307,Smoking cessation (subgrouped by when incentives were provided),42,22.5,0.0343,10,8.5,1.53,0.048,15.64,35,Moderate_Risk
CD004376,Study withdrawals at final follow-up,104,0,0,2,2.9,-0.9,0.0,9.87,10,Low_Risk
